batteries,battery_power_rating,id
1 Lithium Polymer,6000.0,b44d0a01-2341-11ee-b396-3c9c0f728f90
1 Lithium Polymer,4400.0,b44d0a02-2341-11ee-b844-3c9c0f728f90
1 Lithium Polymer,4500.0,b44d0a03-2341-11ee-bcf4-3c9c0f728f90
1 Lithium ion,4000.0,b44d0a04-2341-11ee-85a9-3c9c0f728f90
1 A,6000.0,b44d0a05-2341-11ee-b332-3c9c0f728f90
2 Lithium ion,5000.0,b44d0a06-2341-11ee-819c-3c9c0f728f90
1 Lithium ion,4780.0,b44d0a07-2341-11ee-ad63-3c9c0f728f90
1 Lithium Polymer,4200.0,b44d0a08-2341-11ee-87f0-3c9c0f728f90
1 A,3300.0,b44d0a09-2341-11ee-9140-3c9c0f728f90
1 Lithium ion,6000.0,b44d0a0a-2341-11ee-9eb2-3c9c0f728f90
1 Lithium ion,4400.0,b44d0a0b-2341-11ee-bcd5-3c9c0f728f90
1 Lithium Polymer,5020.0,b44d0a0c-2341-11ee-a8e3-3c9c0f728f90
1 Lithium ion,3300.0,b44d0a0d-2341-11ee-943a-3c9c0f728f90
1 Lithium ion,4030.0,b44d0a0e-2341-11ee-b7d0-3c9c0f728f90
1 Lithium ion,5000.0,b44d0a0f-2341-11ee-82d9-3c9c0f728f90
1 Lithium ion,4500.0,b44d0a10-2341-11ee-ba5d-3c9c0f728f90
1 Lithium ion,3430.0,b44d0a11-2341-11ee-b3a5-3c9c0f728f90
1 A,4400.0,b44d0a12-2341-11ee-b674-3c9c0f728f90
1 Lithium ion,4820.0,b44d0a13-2341-11ee-8fcb-3c9c0f728f90
1 A,2300.0,b44d0a14-2341-11ee-8db7-3c9c0f728f90
1 Lithium Polymer,5000.0,b44d0a15-2341-11ee-91fb-3c9c0f728f90
1 Lithium ion,4250.0,b44d0a16-2341-11ee-a822-3c9c0f728f90
1 Lithium ion,5020.0,b44d0a17-2341-11ee-8ed4-3c9c0f728f90
1 Lithium Polymer,7000.0,b44d0a18-2341-11ee-8bf0-3c9c0f728f90
1 Lithium ion,3700.0,b44d0a19-2341-11ee-94b2-3c9c0f728f90
1 Lithium ion,4350.0,b44d0a1a-2341-11ee-885a-3c9c0f728f90
1 Lithium Polymer,4230.0,b44d0a1b-2341-11ee-803f-3c9c0f728f90
1 Lithium Polymer,4520.0,b44d0a1c-2341-11ee-af77-3c9c0f728f90
1 Lithium ion,600.0,b44d0a1d-2341-11ee-a3b9-3c9c0f728f90
1 A,5000.0,b44d0a1e-2341-11ee-9076-3c9c0f728f90
1 Lithium ion,3000.0,b44d0a1f-2341-11ee-b1e3-3c9c0f728f90
1 Lithium ion,4230.0,b44d0a20-2341-11ee-a86f-3c9c0f728f90
1 Lithium Polymer,4000.0,b44d0a21-2341-11ee-97f2-3c9c0f728f90
1 Lithium Polymer,4300.0,b44d0a22-2341-11ee-9bce-3c9c0f728f90
1 Lithium Polymer,4310.0,b44d0a23-2341-11ee-9cda-3c9c0f728f90
1 A,4500.0,b44d0a24-2341-11ee-9d14-3c9c0f728f90
1 A,5020.0,b44d0a25-2341-11ee-96c7-3c9c0f728f90
1 Lithium Polymer,22.0,b44d0a26-2341-11ee-b6fa-3c9c0f728f90
1 Lithium Polymer,4820.0,b44d0a27-2341-11ee-86c5-3c9c0f728f90
1 Lithium ion,4300.0,b44d0a28-2341-11ee-b13f-3c9c0f728f90
1 Lithium ion,2200.0,b44d0a29-2341-11ee-a6f8-3c9c0f728f90
1 A,4000.0,b44d0a2a-2341-11ee-9fe9-3c9c0f728f90
1 A,7000.0,b44d0a2b-2341-11ee-b9a0-3c9c0f728f90
1 Lithium Polymer,4085.0,b44d0a2c-2341-11ee-b931-3c9c0f728f90
1 Lithium ion,9.0,b44d0a2d-2341-11ee-b48a-3c9c0f728f90
1 AAA,4400.0,b44d0a2e-2341-11ee-a578-3c9c0f728f90
1 Lithium ion,4200.0,b44d0a2f-2341-11ee-ab80-3c9c0f728f90
1 C,3430.0,b44d0a30-2341-11ee-b876-3c9c0f728f90
1 Lithium ion,2500.0,b44d3134-2341-11ee-9114-3c9c0f728f90
1 Lithium Polymer,3000.0,b44d3135-2341-11ee-92b5-3c9c0f728f90
1 A,4200.0,b44d3136-2341-11ee-937e-3c9c0f728f90
1 AAA,4520.0,b44d3137-2341-11ee-b106-3c9c0f728f90
1 A,4310.0,b44d3138-2341-11ee-a8c1-3c9c0f728f90
1 Lithium ion,4310.0,b44d3139-2341-11ee-93ef-3c9c0f728f90
1 A,3000.0,b44d313a-2341-11ee-b408-3c9c0f728f90
1 AAA,6000.0,b44d313b-2341-11ee-8415-3c9c0f728f90
1 Lithium ion,4520.0,b44d313c-2341-11ee-9ad0-3c9c0f728f90
1 Lithium ion,4510.0,b44d313d-2341-11ee-99bf-3c9c0f728f90
1 AAA,5020.0,b44d313e-2341-11ee-a23f-3c9c0f728f90
1 Lithium ion,7000.0,b44d313f-2341-11ee-869c-3c9c0f728f90
1 Lithium ion,3600.0,b44d3140-2341-11ee-9477-3c9c0f728f90
1 Lithium Polymer,4250.0,b44d3141-2341-11ee-998e-3c9c0f728f90
1 Lithium Polymer,4060.0,b44d3142-2341-11ee-a5c8-3c9c0f728f90
1 Lithium Polymer,2400.0,b44d3143-2341-11ee-9f0a-3c9c0f728f90
1 Lithium Polymer,4510.0,b44d3144-2341-11ee-922f-3c9c0f728f90
1 A,3200.0,b44d3145-2341-11ee-9d57-3c9c0f728f90
1 AAA,5000.0,b44d3146-2341-11ee-8973-3c9c0f728f90
1 A,4520.0,b44d3147-2341-11ee-b5c7-3c9c0f728f90
1 A,22.0,b44d3148-2341-11ee-9903-3c9c0f728f90
1 A,4250.0,b44d3149-2341-11ee-a2e8-3c9c0f728f90
1 Lithium ion,3040.0,b44d314a-2341-11ee-8001-3c9c0f728f90
1 Lithium Polymer,4350.0,b44d314b-2341-11ee-81d2-3c9c0f728f90
